ID,CALL,CN,TYPE
06DDE2F1,G-CKCZ,KCZ,ASK-21
06DDE64E,G-DECZ,316,ASK-21
06DDD5EE,G-CJPR,161,LS8-18
06DDD98C,G-CHNF,315,Duo Discus
06DDE4CE,G-CFTV,944,LS-7
06DDEC95,G-GBPP,949,LS-6 18
064054DD,G-CHZY,EN,LS 4
064056DA,G-CFEJ,LC,Discus
06405EB1,G-CJOV,J1M,ASW27
064063D5,G-KUGG,SG9,ASG 29e
06DD51EE,G-CFJM,Z12,LS 4
06DDE986,G-DLOT,LOT,HPH Shark
06DDEA43,G-CLGU,Z3,ASW29
06DF1088,G-DLTY,LTY,HPH 304S Shark
06DDBB19,G-KEDK,Y2,Discus bT
06DDEB36,G-HAAH,HA,Ventus 2ct
06DDD346,G-CKSM,KSM,Duo Discus XLT
